2021 年 6 月 5 日 , Oxygen Not Included, 购买 微信支付 ¥ 23.00
2021 年 6 月 4 日 , Griftlands, 购买 微信支付 ¥ 38.00
2021 年 5 月 15 日 , Crown Trick Wizard of Legend, 购买 微信支付 ¥ 48.60
2021 年 5 月 7 日 , Titan Souls Special Edition Broforce, 购买 微信支付 ¥ 18.00
2021 年 5 月 5 日 , OKAMI HD / 大神 絶景版, 购买 微信支付 ¥ 49.00
2021 年 5 月 1 日 , Naruto Shippuden Ultimate Ninja Storm 3 - EU Version NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 -Shikamaru's Tale Extra Scenario Pack NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Gaara's Tale Extra Scenario Pack NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - The Sound Four Characters Pack NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 NARUTO: Ultimate Ninja STORM NARUTO STORM 4 : Road to Boruto Expansion NARUTO SHIPPUDEN: Ultimate Ninja STORM 2, 购买 微信支付 ¥ 135.15
2021 年 4 月 24 日 , DEATH STRANDING, 购买 微信支付 ¥ 119.00
2021 年 4 月 19 日 , Forza Horizon 4: LEGO® Speed Champions Forza Horizon 4: Welcome Pack Forza Horizon 4: VIP Forza Horizon 4: Best of Bond Car Pack, 购买 微信支付 ¥ 101.92
2021 年 4 月 12 日 , Forza Horizon 4: Fortune Island, 购买 微信支付 ¥ 40.00
2021 年 4 月 10 日 , 极限竞速：地平线 4 豪华版, 购买 微信支付 ¥ 153.00
2021 年 3 月 16 日 , STEINS;GATE, 购买 微信支付 ¥ 90.00
2021 年 3 月 14 日 , 鬼谷八荒, 购买 微信支付 ¥ 68.00
2021 年 3 月 13 日 , Unheard, 购买 微信支付 ¥ 38.00
2021 年 3 月 13 日 , Shadow Tactics: Blades of the Shogun, 购买 微信支付 ¥ 11.00
2021 年 3 月 8 日 , Darkest Dungeon, 购买 微信支付 ¥ 15.00
2021 年 3 月 7 日 , Hero Siege, 购买 微信支付 ¥ 3.99
2021 年 3 月 6 日 , Loop Hero, 购买 微信支付 ¥ 59.50
2021 年 1 月 1 日 , Hollow Knight, 购买 微信支付 ¥ 24.00
2020 年 11 月 27 日 , Hades, 购买 微信支付 ¥ 64.00
2020 年 11 月 22 日 , Outer Wilds 退款, 退款 微信支付 ¥ 80.00
2020 年 11 月 22 日 , Outer Wilds, 购买 微信支付 ¥ 80.00
2020 年 9 月 4 日 , The Witcher 3: Wild Hunt - Game of the Year Edition, 购买 微信支付 ¥ 47.00
2020 年 8 月 1 日 , Rise of the Tomb Raider: 20 Year Celebration, 购买 微信支付 ¥ 40.00
2020 年 7 月 26 日 , Portal 2, 购买 微信支付 ¥ 37.00
2020 年 7 月 12 日 , Dead Cells Dead Cells: The Bad Seed, 购买 微信支付 ¥ 92.00
2019 年 7 月 3 日 , Terraria 4-Pack, 购买 微信支付 ¥ 44.00
